Names,Notes,Color,Week 4,Week 5,Week 6,Week 7
Timoteo,HOTSHOT,#e5473c,1,,,
Hojung,HOTSHOT,#e5473c,4,,,
Hansol,SM Rookies (former),#e5473c,5,,,
Kijoong,IM,#e5473c,7,,,
Donghyun,Boyfriend,#e5473c,2,,,
Rockhyun,100%,#e5473c,11,,,
Feeldog,BIGSTAR,#e5473c,3,,,
Lee Geon,Madtown,#e5473c,22,,,
Kanto,Troy/Soloist,#e5473c,9,,,
Casper,Cross Gene (former),#f38433,46,,,
Marco,H.B.Y,#f38433,12,,,
JunQ,MYNAME,#f38433,16,,,
Chaejin,MYNAME,#f38433,24,,,
Lee Jungha,Namoo Actors,#f38433,15,,,
Ungjae,IMFACT,#f38433,23,,,
Z-Uk,BIGFLO (former),#f38433,63,,,
Taeho,IMFACT,#f38433,47,,,
Hyukjin,100%,#f38433,20,,,
Hangyul,IM,#c8bf09,35,,,
Sunghak,BIGSTAR,#c8bf09,34,,,
Raehwan,BIGSTAR,#c8bf09,16,,,
Sungjun,Boys Republic,#c8bf09,41,,,
Sejun,SPEED (former),#c8bf09,43,,,
Suwoong,Boys Republic,#c8bf09,21,,,
Jeup,IMFACT,#c8bf09,40,,,
Seongho,BEATWIN (former),#c8bf09,54,,,
Gunmin,B.I.G,#c8bf09,25,,,
Seungjin,A-JAX,#2abe6d,38,,,
Joonghee,A-JAX,#2abe6d,45,,,
Junyoung,U-KISS,#2abe6d,6,,,
B-Joo,Topp Dogg,#2abe6d,36,,,
Heedo,B.I.G,#2abe6d,33,,,
Hojoon,Topp Dogg,#2abe6d,27,,,
Lex,BIGFLO,#2abe6d,49,,,
Jin-O,A.Cian,#2abe6d,61,,,
Taro,H.B.Y,#2abe6d,57,,,
Giseok,IM,#3683f3,19,,,
Lee Euijin,BIGFLO,#3683f3,17,,,
Seyong,MYNAME,#3683f3,10,,,
Kyeongha,TopSecret,#3683f3,29,,,
Gunwoo,MYNAME,#3683f3,18,,,
Jude,BIGSTAR,#3683f3,51,,,
Junghoon,TopSecret,#3683f3,62,,,
One Junn,Boys Republic,#3683f3,48,,,
Jang Sebin,Snuper,#3683f3,32,,,
Taeeun,IM,#545794,55,,,
Rayoon,MVP,#545794,39,,,
P.K.,MVP,#545794,52,,,
Jungsang,A.Cian,#545794,28,,,
Junhyeok,Day6 (former),#545794,31,,,
Junhee,A.C.E,#545794,30,,,
Chan,A.C.E,#545794,26,,,
Sangil,Snuper,#545794,37,,,
Jin,MVP,#545794,53,,,
Suhyun,Snuper,#e491d4,44,,,
Jian,IMFACT,#e491d4,59,,,
Yonghoon,MAS,#e491d4,58,,,
Harin,MAS,#e491d4,50,,,
Kanghyun,MAS,#e491d4,56,,,
Dongmyeong,MAS,#e491d4,8,,,
Cya,MAS,#e491d4,60,,,
Daewon,Madtown,#e491d4,13,,,
Jeongha,BEATWIN,#e491d4,42,,,
