Name,Notes,Color,Episode 2,Episode 3,,,
Wang Manjun,Banana Entertainment,#77c89a,96,96,,,
Yan Kexin,Oxygen Girls member,#77c89a,97,97,,,
Zheng Cheng Cheng,Left in Episode 2 / K-L Entertainment trainee,#000000,98,-,,,
Zhang Yuwen,Rhonin Studio trainee,#77c89a,99,98,,,
Wang Juemeng,Lajin Media trainee,#77c89a,100,99,,,
Qiu Luqing,Huanri Shiji Culture trainee,#888888,101,100,,,
Re Yina,ESEE Model Management Shanghai model / Intruder (spot-stealer),#888888,102,21,,,
Gao Yingxi,SDT Girls member / Intruder (spot-stealer),#e2bacc,103,31,,,
Wu Qian Ying,SDT Girls member / Intruder (spot-stealer),#e2bacc,104,33,,,
Naomi/Wang Ju,ESEE Model Management Shanghai model / Intruder (spot-stealer),#673278,105,94,,,
