Names,Notes,Color,Week 4,Week 5,Week 6,Week 7
Yeoeun,Melody Day,#e5473c,18,,,
Chahee,Melody Day,#e5473c,34,,,
Yoomin,Melody Day,#e5473c,32,,,
Lee Borim,Actress,#e5473c,44,,,
Euijin,Sonamoo,#e5473c,5,,,
Yebin,DIA,#e5473c,2,,,
Somyi,DIA,#e5473c,10,,,
Han Seoin,The SeeYa (former),#e5473c,45,,,
Eunji,Brave Girls,#e5473c,41,,,
Seol Hayoon,Soloist,#f38433,16,,,
Kim,Rubber Soul,#f38433,39,,,
Bomi,ACEMAX-RED,#f38433,54,,,
Dabin,Baby Boo,#f38433,40,,,
Hyunjoo,APRIL (former),#f38433,9,,,
Joohyun,Cube Trainee,#f38433,38,,,
Mint,Tiny-G (former),#f38433,26,,,
Hyosun,H.U.B,#f38433,7,,,
Areum,T-ara (former),#f38433,27,,,
Yena,G-reyish,#c8bf09,43,,,
Minhee,Miss $,#c8bf09,20,,,
Heejin,GOOD DAY,#c8bf09,37,,,
Hanbi,LipBubble,#c8bf09,56,,,
Lee Yujeong,S2,#c8bf09,61,,,
Eun-E,S.E.T,#c8bf09,62,,,
Eunbyeol,LipBubble,#c8bf09,58,,,
Tae-E,S.E.T,#c8bf09,60,,,
Lee Sebin,S.I.S,#c8bf09,47,,,
NC.A,Soloist,#2abe6d,4,,,
Chaewon,S2,#2abe6d,63,,,
I,Soloist,#2abe6d,19,,,
Semmi,Matilda,#2abe6d,49,,,
Viva,GOOD DAY,#2abe6d,52,,,
Saebyul,Matilda,#2abe6d,57,,,
Genie,GOOD DAY,#2abe6d,59,,,
Hyeyeon,BESTie,#2abe6d,30,,,
Yoonjo,Hello Venus (former),#2abe6d,23,,,
Soya,Soya 'n Sun (former),#3683f3,29,,,
Joo,Soloist,#3683f3,8,,,
Shin Jihoon,Soloist,#3683f3,14,,,
Yeseul,WINGS,#3683f3,53,,,
Haseo,HA&DA (former),#3683f3,31,,,
Yuji,Apple.B,#3683f3,51,,,
Sandy,Apple.B,#3683f3,55,,,
Lena,ACEMAX-RED,#3683f3,48,,,
Lucky,GOOD DAY,#3683f3,22,,,
Yang Jiwon,SPICA (former),#545794,1,,,
Serri,Dal Shabet,#545794,13,,,
Woohee,Dal Shabet,#545794,6,,,
Nari,WA$$UP,#545794,21,,,
Park Jiwon,Park Sisters,#545794,42,,,
Kim Yujeong,LABOUM,#545794,12,,,
Dan-A,Matilda,#545794,28,,,
Haena,Matilda,#545794,46,,,
ZN,LABOUM,#545794,17,,,
Nam Yujeong,Brave Girls,#e491d4,33,,,
Haein,LABOUM,#e491d4,24,,,
Euna,The Ark (former),#e491d4,3,,,
Suji,The Ark (former),#e491d4,11,,,
Janey,GP Basic (former),#e491d4,35,,,
Kim Jiwon,GOOD DAY,#e491d4,15,,,
Anne,S.I.S,#e491d4,36,,,
Gaeul,S.I.S,#e491d4,25,,,
Chaesol,GOOD DAY,#e491d4,50,,,
