Name,Notes,Color,Episode 2,Episode 3,,,
Yamy,JC Universe Entertainment trainee,#e2bacc,1,,,,
Qiang Dongyue,Banana Entertainment trainee,#e9d95d,2,,,,
Duan Aojuan,Long WuTian Culture trainee,#673278,3,,,,
Yang Chaoyue,CH2 member,#888888,4,,,,
Wu Xuanyi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,5,,,,
Sunnee/Yang Yunqing,K-L Entertainment trainee,#673278,6,,,,
Kimberley Chen/Chen Fangyu,Universal Music Taiwan trainee,#e9d95d,7,,,,
Fu Jing,Banana Entertainment trainee,#e2bacc,8,,,,
Wang Qing,K-L Entertainment trainee,#673278,9,,,,
Ge Jiahui,"Individual Trainee, former SNH48 member",#673278,10,,,,
Li Ziting,Huaying Yixing trainee,#e2bacc,11,,,,
Li Zixuan,OACA trainee,#e2bacc,12,,,,
Xu Mengjie,Ladybees member,#e9d95d,13,,,,
Wu Yingxiang,T-Trainee Culture trainee,#e9d95d,14,,,,
Cindy,Eliminated in Episode 2 / 3UNSHINE member,#000000,15,-,,,
Meng Meiqi,"Yuehua Entertainment trainee, also a member of Cosmic Girls.",#e2bacc,16,,,,
Zhao Yaoke,K-L Entertainment trainee,#77c89a,17,,,,
Lai Meiyun,S.I.N.G member,#e9d95d,18,,,,
Jiao Manting,Sanmei Entertainment trainee,#77c89a,19,,,,
Chen Yihan,JOY Entertainment trainee,#888888,20,,,,
Gao Qiuzi,Ladybees member,#77c89a,21,,,,
Fan Wei,YY Media trainee,#673278,22,,,,
Liu Renyu,Oxygen Girls member,#e2bacc,23,,,,
Yu Meihong,K-L Entertainment trainee,#888888,24,,,,
Yang Bing,Z-Cherry Culture trainee,#888888,25,,,,
Abby,Left in Episode 2 / 3UNSHINE member,#000000,26,-,,,
Lu Xiaocao,Ivy Culture trainee,#888888,27,,,,
Ma Xingyu,Oxygen Girls member,#888888,28,,,,
Rui Meng,"Mavericks Entertainment trainee, participated in Trainee18",#888888,29,,,,
Xiang Yuxin,YY Media trainee,#888888,30,,,,
Zhang Chuhan,Huakai Banxia Culture trainee,#673278,31,,,,
Xu Jingyun,Emperor Entertainment Group trainee,#673278,32,,,,
Wang Mohan,DongLun Media trainee,#673278,33,,,,
Lucia Chen/Chen Yingyan,K-L Entertainment trainee,#77c89a,34,,,,
Lu Xiaoyu,Mango Entertainment trainee,#e2bacc,35,,,,
Zhang Xinyue,Lajin Media trainee,#77c89a,36,,,,
Liu Dexi,Super Jet Entertainment trainee,#673278,37,,,,
Liu Dan Meng,Na Zhu Entertainment trainee,#e9d95d,38,,,,
Wei Jin,JC Universe Entertainment trainee,#e9d95d,39,,,,
Jiang Jiner,Yuehua Entertainment trainee,#e9d95d,40,,,,
Chen Yuyuan,Z-Cherry Culture trainee,#e9d95d,41,,,,
Zhang Xi,Yuehua Entertainment trainee,#e9d95d,42,,,,
Li Tianyun,"ACEMax-Red member, participated in The Unit as Lena",#77c89a,43,,,,
Luo Yijia,Oxygen Girls member,#e9d95d,44,,,,
Yin Rui,JXJY Culture trainee,#673278,45,,,,
Lin Junyi,OACA trainee,#e9d95d,46,,,,
Zi Ning,"Mavericks Entertainment trainee, participated in Trainee18",#e2bacc,47,,,,
Xia Shijie,Z-Cherry Culture trainee,#673278,48,,,,
Zhu Jiaxi,Huanri Shiji Culture trainee,#77c89a,49,,,,
Wang Ting,MOI member,#e9d95d,50,,,,
Blair Yue,"Mavericks Entertainment trainee, participated in Trainee18",#77c89a,51,,,,
Mena,Yuehua Entertainment trainee,#e9d95d,52,,,,
Zhou Xue,Rongyi Culture trainee,#673278,53,,,,
Yang Meiqi,CH2 member,#77c89a,54,,,,
Qi Yandi,Huayi Brothers trainee,#673278,55,,,,
Jiang Shen,S.I.N.G member,#673278,56,,,,
Zhang Xinlei,MOMO Limited trainee,#888888,57,,,,
Du Jinyu,JC Universe Entertainment trainee,#673278,58,,,,
Chou Chou,JC Universe Entertainment trainee,#e9d95d,59,,,,
Luo Yitan,JC Universe Entertainment trainee,#673278,60,,,,
Liu Nian,AKB48 China pre-debut member.,#888888,61,,,,
Lin Jia An,C.Y Media trainee,#e9d95d,62,,,,
Pan Junya,Yuehua Entertainment trainee.,#673278,63,,,,68
Mao Weijia,AKB48 China pre-debut member.,#77c89a,64,,,,
Ni Qiuyun,OACA trainee,#673278,65,,,,
Chen Yifan,YY Media trainee,#77c89a,66,,,,
Hu YueEr,YZGirls member,#77c89a,67,,,,
Dora,Eliminated in Episode 2 / 3UNSHINE member,#000000,68,-,,,
Gou Xueying,MOI member,#77c89a,69,,,,
Luo Zhiyi,JC Universe Entertainment trainee,#e9d95d,70,,,,
Ju Lin,Dream Entertainment trainee,#888888,71,,,,
Xu Shiyin,S.I.N.G member trainee,#888888,72,,,,
Ren Zhen,YZGirls member trainee,#77c89a,73,,,,
Wu Qian,YY Media trainee,#673278,74,,,,
Yang Meiling,CH2 member,#888888,75,,,,
Liu Sixian,YY Media trainee,#77c89a,76,,,,
Liu Niyi,Banana Entertainment trainee,#673278,77,,,,
Su Ruiqi,Oxygen Girls member,#e9d95d,78,,,,
Zhang Xinjie,HelloGirls member,#888888,79,,,,
Jiang Yanxi,HelloGirls member,#77c89a,80,,,,
Wang Yiran,Banana Entertainment trainee,#e9d95d,81,,,,
Luo Tianshu,Individual Trainee,#673278,82,,,,
Yang Ruihan,Yuehua Entertainment trainee,#e9d95d,83,,,,
Liu Yushan,PopuLady member,#77c89a,84,,,,
Wang Yalin,Oxygen Girls member,#77c89a,85,,,,
Yin Rouyi,Huanri Shiji Culture trainee,#888888,86,,,,
Liu Jiaying,Rhonin Studio trainee,#673278,87,,,,
Wu Xiaoxuan,HelloGirls member,#77c89a,88,,,,
Yang Han,Checkmate Entertainment trainee,#e9d95d,89,,,,
Zhu Tiantian,Super Jet Entertainment trainee,#888888,90,,,,
Han Dan,Ladybees member,#77c89a,91,,,,
Shao Xia,Dream Entertainment trainee,#673278,92,,,,
Zhao Ling,Eliminated in Episode 2 / CH2 member,#000000,93,-,,,
Wu Yun Ting,PopuLady member,#77c89a,94,,,,
Zhang Jingxuan,Oxygen Girls member,#888888,95,,,,
Wang Manjun,Banana Entertainment,#77c89a,96,,,,
Yan Kexin,Oxygen Girls member,#77c89a,97,,,,
Zheng Cheng Cheng,Left in Episode 2 / K-L Entertainment trainee,#000000,98,-,,,
Zhang Yuwen,Rhonin Studio trainee,#77c89a,99,,,,
Wang Juemeng,Lajin Media trainee,#77c89a,100,,,,
Qiu Luqing,Huanri Shiji Culture trainee,#888888,101,,,,
Gao Yingxi,SDT Girls member,#e2bacc,-,,,,
Wu Qian Ying,SDT Girls member,#e2bacc,-,,,,
Re Yina,ESEE Model Management Shanghai model,#888888,-,,,,
Naomi/Wang Ju,ESEE Model Management Shanghai model,#673278,-,,,,
