Names,Notes,Color,Episode 0,Episode 4
Ahn Dabi (Maroo Entertainment),,#000080,54,86
Ahn Hanbyeol (IME Korea),,#C45AEC,62,70
Baek Da-ae (Mostable Girls),,#842DCE,10,69
Baek Hyejin (4ten),,#C04000,66,74
Baek Hyunjoo (Seeart),Debut Lineup,#008000,28,5
Baek Minseo (Fave Entertainment),,#FF00FF,55,60
Bang Yesol (Ono Entertainment),,#0000A0,51,85
Choi Hayoung (Polaris),,#FFFF00,3,35
Choi Jiseon (DK),,#C12869,20,93
Choi Moonhee (Bonus Baby),Debut Lineup,#00FFFF,17,8
Choi Sujeong (Mostable Girls),,#842DCE,81,92
Choi Yoon-a (Elris),,#C85A17,72,32
Go Ara (Favorite),,#8C001A,67,19
Go Junghee (Favorite),,#8C001A,91,26
Han Byeol (Seeart),,#008000,90,68
Han Gyeo-ul (Pro Beat),,#2B547E,92,71
Heo Chanmi (Mostable Girls),,#842DCE,29,10
Heo Youngju (Mole Girls),,#FFA500,63,50
Hong Juhyun (Choon Entertainment),,#B2C248,86,56
Hwang Jimin (Mystic Girls),,#E77471,30,34
Hwang Woolim (Playback),,#98FF98,39,51
Im Jihye (Seeart),,#008000,38,95
Im Jungmin (Ono Entertainment),,#0000A0,13,30
Im Sohyun (Major 9),,#4EE2EC,64,62
Jang Eunsung (RBW),,#00FF00,40,73
Jang Hyokyung (Star Empire),,#ADD8E6,47,29
Jeon Heejin (Loona),Debut Lineup,#800000,53,7
Jeon Yeim (A100 Entertainment),,#ADA96E,36,82
Jeon Yujin (Roots Entertainment),,#F778A1,94,67
Jo Yuri (RBW),,#00FF00,35,66
Jung Dasol (JD),,#6F4E37,96,89
Jung Hayoon (Bonus Baby),,#00FFFF,2,47
Jung Sara (Bacecamp),,#808000,27,16
Jung Yeeun (Seeart),,#008000,58,65
Jung Yujeong (No Agency),,#5C5858,80,59
Kang Sihyun (Star Empire),,#ADD8E6,18,18
Kim Bowon (Fave Entertainment),,#FF00FF,49,28
Kim Chaehyun (Bonus Baby),,#00FFFF,60,57
Kim Dayoon (Bonus Baby),,#00FFFF,21,27
Kim Heesu (Eleven 9),,#808080,6,90
Kim Hyunjin (Loona),Debut Lineup,#800000,23,6
Kim Hyunjung (Berry Good),,#A52A2A,68,41
Kim Juyeon (IME Korea),,#C45AEC,32,79
Kim Minji (Dreamcatcher),Debut Lineup,#800080,56,4
Kim Minju (Favorite),,#8C001A,22,31
Kim Minkyung (Mostable Girls),,#842DCE,33,46
Kim Seongeun (RBW),,#00FF00,75,64
Kim Sihyun (Music Works),,#000000,7,49
Kim Sori (Mole Entertainment),Debut Lineup,#FFA500,16,3
Kim Sua (Neon Punch),,#307D7E,88,37
Kim Suhyun (Mystic Girls),,#E77471,70,22
Kim Suyeon (TAJOY),,#CFECEC,89,87
Kim Yoohyun (Dreamcatcher),,#800080,8,12
Kim Yoonji (Star Empire),,#ADD8E6,11,42
Kim Youngseo (RBW),,#00FF00,4,39
Kim Yunyoung (No Agency),,#5C5858,59,44
Kwak Hee-o (4ten),,#C04000,78,45
Lee Bom (Roots Entertainment),,#F778A1,46,83
Lee Hayoung (Playback),,#98FF98,87,36
Lee Hyangsook (Sidus HQ),Debut Lineup,#89C35C,41,9
Lee Jieun (Music Works),,#000000,48,81
Lee Seungmi (Major 9),,#4EE2EC,97,80
Lee Siyeon (Dreamcatcher),,#800080,44,14
Lee Soomin (Fave Entertainment),Debut Lineup,#FF00FF,15,2
Lee Suhyun (Major 9),,#4EE2EC,43,91
Lee Sujin (Fave Entertainment),,#FF00FF,1,13
Lee Yeeun (Mole Girls),,#FFA500,79,52
Lee Yeoreum (Roots Entertainment),,#F778A1,24,84
Lee Yesol (RBW),,#00FF00,52,72
Lee Yongchae (Ono Entertainment),,#0000A0,14,88
Lee Yubin (Dreamcatcher),,#800080,50,23
Moon Eunjin (Illusion Entertainment),,#1589FF,45,55
Moon Seungyoo (START),,#FBB917,82,54
Nam Yujin (Bacecamp),,#808000,69,20
Ng Sze Kai (Unleash),,#7F462C,76,11
Ogawa Mizuki (No Agency),,#5C5858,77,48
Park Chohyun (Seeart),,#008000,85,94
Park Eunjo (IME Korea),,#C45AEC,83,96
Park Gaeun (Pascal Entertainment),,#008080,42,75
Park Haerin (Fave Entertainment),,#FF00FF,12,15
Park Haeyoung (2Able),,#E38AAE,65,21
Park Jiwoo (START),,#FBB917,37,61
Park Soeun (Fave Entertainment),,#FF00FF,19,43
Park Soomin (IME Korea),,#C45AEC,9,58
Sekioka Rena (Star Road),,#463E3F,93,77
Seo Jiheun (RBW),,#00FF00,71,78
Seo Yuri (Berry Good),,#A52A2A,25,76
Shin Jiwon (Berry Good),,#A52A2A,98,33
Shin Jiyoon (Fave Entertainment),,#FF00FF,31,40
Shin Ryujin (JYP),Debut Lineup,#0000FF,26,1
Shin Suhyun (Fave Entertainment),,#FF00FF,74,53
Song Jieun (Double V),,#5E5A80,61,98
Teramoto Yukika (Mole Girls),,#FFA500,73,17
Watanabe Rui (HUB),,#FFCBA4,84,25
Yang Hyesung (Elris),,#C85A17,34,38
Yeo Inhye (CS Girls),,#9E7BFF,95,63
Yoo Hajeong (Polaris Entertainment),,#FFFF00,57,97
Yoo Jinkyung (Brave Entertainment),,#C0C0C0,5,24
