Names,Notes,Color,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11
Bae Eunyeong,,#00b16a,22,13,11,14,15,17,14,14,15,15,
Baek Jiheon,,#f64747,9,6,4,1,3,2,10,7,8,8,
Cho Yubin,Eliminated in Episode 6,#e87e04,18,28,34,30,28,29,-,-,-,-,-
Chu Wonhui,Eliminated in Episode 10,#bf55ec,10,16,18,17,20,23,27,27,21,21,-
Hong Siwoo,Eliminated in Episode 4,#fde3a7,41,39,38,39,-,-,-,-,-,-,-
Jang Gyuri,,#aea8d3,28,25,16,20,13,11,13,13,9,9,
Jenny,Eliminated in Episode 10,#f08aec,32,31,31,31,32,28,28,28,28,28,-
Jeong Somi,Eliminated in Episode 4,#f5ab35,31,37,39,36,-,-,-,-,-,-,-
Jessica Lee,Eliminated in Episode 4,#03a678,33,34,30,35,-,-,-,-,-,-,-
Jo Selim,Eliminated in Episode 4,#eebb99,37,40,37,40,-,-,-,-,-,-,-
Jo Youngju,Eliminated in Episode 10,#f69b4c,36,29,26,18,19,20,22,22,25,25,-
Jo Yuri,,#dcc6e0,8,7,12,11,12,13,15,15,18,18,
Kim Eunkyul,Eliminated in Episode 6,#cf000f,6,15,25,27,29,31,-,-,-,-,-
Kim Eunsuh,,#03c9a9,20,14,14,12,14,14,16,16,16,16,
Kim Myongji,Eliminated in Episode 10,#be90d4,21,20,21,19,21,18,24,24,27,27,-
Kim Nayeon,Eliminated in Episode 10,#26a65b,40,36,32,28,26,21,12,12,20,20,-
Lee Chaeyoung,,#9a12b3,3,3,3,5,8,12,8,8,5,5,
Lee Dahee,Eliminated in Episode 10,#1e824c,35,38,40,29,30,26,18,18,24,24,-
Lee Haein,,#fdcb2a,1,2,2,2,5,10,9,9,6,6,
Lee Nakyung,,#6d4794,14,9,7,8,4,3,5,5,7,7,
Lee Saerom,,#845a90,13,8,8,9,9,5,2,2,4,4,
Lee Seoyeon,,#67809f,11,11,10,3,6,4,6,6,3,3,
Lee Sian,,#5c97bf,15,19,17,21,18,22,21,21,13,13,
Lee Yeongyoo,Eliminated in Episode 6,#f5d76e,16,27,29,32,31,32,-,-,-,-,-
Lee Yoojeong,Eliminated in Episode 10,#4ecdc4,25,26,22,25,22,24,23,23,26,26,-
Michelle White,Eliminated in Episode 4,#90c695,30,33,36,34,-,-,-,-,-,-,-
Natty,,#ff8f04,2,5,6,10,16,16,17,17,14,14,
Park Jiwon,,#d24d57,5,4,5,6,7,8,4,4,10,10,
Park Somyeong,,#81cfe0,27,18,15,16,11,6,11,11,12,12,
Park Sun,Eliminated in Episode 6,#ec644b,24,21,24,22,27,30,-,-,-,-,-
Roh Jisun,,#4183d7,23,22,20,13,2,1,3,3,1,1,
Seo Herin,Eliminated in Episode 10,#c8f7c5,4,10,13,15,17,15,25,25,22,22,-
Shin Sia,Eliminated in Episode 10,#049372,19,23,27,23,23,19,20,20,19,19,-
Sky,,#1ba39c,12,17,19,24,24,25,19,19,17,17,
Snowbaby,Eliminated in Episode 4,#22a7f0,34,32,28,33,-,-,-,-,-,-,-
Som Hyein,Left due to health reasons,#c5eff7,29,-,-,-,-,-,-,-,-,-,-
Song Hayoung,,#d2527f,7,1,1,4,1,9,1,1,2,2,
Tasha,Eliminated in Episode 10,#87d37c,39,24,23,26,25,27,26,26,23,23,-
Yang Yeongi,Eliminated in Episode 4,#336e7b,38,35,35,38,-,-,-,-,-,-,-
Yoo Jina,,#e26a6a,17,12,9,7,10,6,7,10,11,11,
Yoon Jiwoo,Eliminated in Episode 4,#6bb9f0,26,30,33,37,-,-,-,-,-,-,-
